onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	5	2	19	1	3
16	2	2	1	2	1	2	13	19	2	3
28	2	2	1	3	1	1	10	7	3	1
40	2	2	1	4	1	6	13	7	2	1
52	2	2	1	5	1	7	10	16	3	2
64	2	2	1	6	1	5	2	19	1	3
76	2	2	1	7	1	6	13	7	2	1
88	2	2	1	8	1	3	2	16	1	2
100	2	2	1	9	1	7	10	16	3	2
112	2	2	1	10	1	1	10	7	3	1
124	2	2	1	11	1	4	13	16	2	2
136	2	2	1	12	1	9	2	7	1	1
148	2	2	1	13	1	8	10	19	3	3
160	2	2	1	14	1	4	13	16	2	2
172	2	2	1	15	1	9	2	7	1	1
184	2	2	1	16	1	8	10	19	3	3
196	2	2	1	17	1	2	13	19	2	3
208	2	2	1	18	1	3	2	16	1	2
