onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	4	13	16	2	2
16	2	4	0	2	1	1	10	7	3	1
28	2	4	0	3	1	9	2	7	1	1
40	2	4	0	4	1	8	10	19	3	3
52	2	4	0	5	1	1	10	7	3	1
64	2	4	0	6	1	9	2	7	1	1
76	2	4	0	7	1	5	2	19	1	3
88	2	4	0	8	1	4	13	16	2	2
100	2	4	0	9	1	2	13	19	2	3
112	2	4	0	10	1	3	2	16	1	2
124	2	4	0	11	1	8	10	19	3	3
136	2	4	0	12	1	5	2	19	1	3
148	2	4	0	13	1	6	13	7	2	1
160	2	4	0	14	1	7	10	16	3	2
172	2	4	0	15	1	2	13	19	2	3
184	2	4	0	16	1	7	10	16	3	2
196	2	4	0	17	1	3	2	16	1	2
208	2	4	0	18	1	6	13	7	2	1
