onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	3	18	16	1	3
16	2	2	1	2	1	7	18	9	1	1
28	2	2	1	3	1	2	7	16	3	3
40	2	2	1	4	1	3	18	16	1	3
52	2	2	1	5	1	4	7	10	3	2
64	2	2	1	6	1	9	18	10	1	2
76	2	2	1	7	1	1	1	16	2	3
88	2	2	1	8	1	5	1	9	2	1
100	2	2	1	9	1	8	7	9	3	1
112	2	2	1	10	1	1	1	16	2	3
124	2	2	1	11	1	7	18	9	1	1
136	2	2	1	12	1	6	1	10	2	2
148	2	2	1	13	1	5	1	9	2	1
160	2	2	1	14	1	2	7	16	3	3
172	2	2	1	15	1	6	1	10	2	2
184	2	2	1	16	1	8	7	9	3	1
196	2	2	1	17	1	4	7	10	3	2
208	2	2	1	18	1	9	18	10	1	2
