onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	1	19	11	2	2
16	2	4	0	2	1	4	1	9	1	3
28	2	4	0	3	1	6	1	11	1	2
40	2	4	0	4	1	8	19	9	2	3
52	2	4	0	5	1	5	7	2	3	1
64	2	4	0	6	1	1	19	11	2	2
76	2	4	0	7	1	2	1	2	1	1
88	2	4	0	8	1	7	7	11	3	2
100	2	4	0	9	1	2	1	2	1	1
112	2	4	0	10	1	3	7	9	3	3
124	2	4	0	11	1	9	19	2	2	1
136	2	4	0	12	1	3	7	9	3	3
148	2	4	0	13	1	6	1	11	1	2
160	2	4	0	14	1	5	7	2	3	1
172	2	4	0	15	1	8	19	9	2	3
184	2	4	0	16	1	4	1	9	1	3
196	2	4	0	17	1	7	7	11	3	2
208	2	4	0	18	1	9	19	2	2	1
