onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	6	13	9	3	1
16	2	1	1	2	1	3	10	1	1	2
28	2	1	1	3	1	9	10	11	1	3
40	2	1	1	4	1	2	2	11	2	3
52	2	1	1	5	1	4	13	1	3	2
64	2	1	1	6	1	5	13	11	3	3
76	2	1	1	7	1	1	2	9	2	1
88	2	1	1	8	1	5	13	11	3	3
100	2	1	1	9	1	1	2	9	2	1
112	2	1	1	10	1	6	13	9	3	1
124	2	1	1	11	1	4	13	1	3	2
136	2	1	1	12	1	9	10	11	1	3
148	2	1	1	13	1	7	2	1	2	2
160	2	1	1	14	1	2	2	11	2	3
172	2	1	1	15	1	8	10	9	1	1
184	2	1	1	16	1	3	10	1	1	2
196	2	1	1	17	1	7	2	1	2	2
208	2	1	1	18	1	8	10	9	1	1
