onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	9	10	11	1	3
16	2	4	0	2	1	4	13	1	3	2
28	2	4	0	3	1	6	13	9	3	1
40	2	4	0	4	1	2	2	11	2	3
52	2	4	0	5	1	4	13	1	3	2
64	2	4	0	6	1	3	10	1	1	2
76	2	4	0	7	1	9	10	11	1	3
88	2	4	0	8	1	7	2	1	2	2
100	2	4	0	9	1	5	13	11	3	3
112	2	4	0	10	1	7	2	1	2	2
124	2	4	0	11	1	1	2	9	2	1
136	2	4	0	12	1	8	10	9	1	1
148	2	4	0	13	1	2	2	11	2	3
160	2	4	0	14	1	8	10	9	1	1
172	2	4	0	15	1	6	13	9	3	1
184	2	4	0	16	1	5	13	11	3	3
196	2	4	0	17	1	3	10	1	1	2
208	2	4	0	18	1	1	2	9	2	1
