onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	4	2	19	2	3
16	2	1	1	2	1	8	11	10	3	2
28	2	1	1	3	1	5	13	10	1	2
40	2	1	1	4	1	2	11	7	3	1
52	2	1	1	5	1	9	13	19	1	3
64	2	1	1	6	1	1	11	19	3	3
76	2	1	1	7	1	6	2	10	2	2
88	2	1	1	8	1	8	11	10	3	2
100	2	1	1	9	1	9	13	19	1	3
112	2	1	1	10	1	3	2	7	2	1
124	2	1	1	11	1	7	13	7	1	1
136	2	1	1	12	1	6	2	10	2	2
148	2	1	1	13	1	1	11	19	3	3
160	2	1	1	14	1	3	2	7	2	1
172	2	1	1	15	1	7	13	7	1	1
184	2	1	1	16	1	5	13	10	1	2
196	2	1	1	17	1	2	11	7	3	1
208	2	1	1	18	1	4	2	19	2	3
