onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	5	19	16	1	1
16	2	2	1	2	1	9	7	1	2	3
28	2	2	1	3	1	6	18	10	3	2
40	2	2	1	4	1	7	7	16	2	1
52	2	2	1	5	1	2	7	10	2	2
64	2	2	1	6	1	4	19	1	1	3
76	2	2	1	7	1	8	18	16	3	1
88	2	2	1	8	1	9	7	1	2	3
100	2	2	1	9	1	6	18	10	3	2
112	2	2	1	10	1	1	19	10	1	2
124	2	2	1	11	1	3	18	1	3	3
136	2	2	1	12	1	4	19	1	1	3
148	2	2	1	13	1	5	19	16	1	1
160	2	2	1	14	1	7	7	16	2	1
172	2	2	1	15	1	1	19	10	1	2
184	2	2	1	16	1	8	18	16	3	1
196	2	2	1	17	1	2	7	10	2	2
208	2	2	1	18	1	3	18	1	3	3
