onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	8	9	7	3	1
16	2	2	1	2	1	7	1	7	1	1
28	2	2	1	3	1	5	2	18	2	3
40	2	2	1	4	1	7	1	7	1	1
52	2	2	1	5	1	8	9	7	3	1
64	2	2	1	6	1	3	9	18	3	3
76	2	2	1	7	1	9	1	19	1	2
88	2	2	1	8	1	5	2	18	2	3
100	2	2	1	9	1	6	2	7	2	1
112	2	2	1	10	1	9	1	19	1	2
124	2	2	1	11	1	3	9	18	3	3
136	2	2	1	12	1	2	1	18	1	3
148	2	2	1	13	1	1	9	19	3	2
160	2	2	1	14	1	4	2	19	2	2
172	2	2	1	15	1	2	1	18	1	3
184	2	2	1	16	1	4	2	19	2	2
196	2	2	1	17	1	1	9	19	3	2
208	2	2	1	18	1	6	2	7	2	1
