onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	4	10	11	2	1
16	2	1	1	2	1	5	10	1	2	2
28	2	1	1	3	1	3	19	1	3	2
40	2	1	1	4	1	2	19	9	3	3
52	2	1	1	5	1	1	7	9	1	3
64	2	1	1	6	1	7	7	11	1	1
76	2	1	1	7	1	2	19	9	3	3
88	2	1	1	8	1	1	7	9	1	3
100	2	1	1	9	1	8	19	11	3	1
112	2	1	1	10	1	9	7	1	1	2
124	2	1	1	11	1	5	10	1	2	2
136	2	1	1	12	1	8	19	11	3	1
148	2	1	1	13	1	3	19	1	3	2
160	2	1	1	14	1	6	10	9	2	3
172	2	1	1	15	1	7	7	11	1	1
184	2	1	1	16	1	9	7	1	1	2
196	2	1	1	17	1	4	10	11	2	1
208	2	1	1	18	1	6	10	9	2	3
