onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	3	0	1	1	6	18	19	1	2
16	2	3	0	2	1	2	7	1	3	1
28	2	3	0	3	1	3	9	19	2	2
40	2	3	0	4	1	4	7	2	3	3
52	2	3	0	5	1	5	9	2	2	3
64	2	3	0	6	1	8	18	1	1	1
76	2	3	0	7	1	7	18	2	1	3
88	2	3	0	8	1	5	9	2	2	3
100	2	3	0	9	1	9	7	19	3	2
112	2	3	0	10	1	7	18	2	1	3
124	2	3	0	11	1	6	18	19	1	2
136	2	3	0	12	1	1	9	1	2	1
148	2	3	0	13	1	2	7	1	3	1
160	2	3	0	14	1	3	9	19	2	2
172	2	3	0	15	1	1	9	1	2	1
184	2	3	0	16	1	9	7	19	3	2
196	2	3	0	17	1	8	18	1	1	1
208	2	3	0	18	1	4	7	2	3	3
