onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	9	7	2	1	1
16	2	1	1	2	1	5	7	10	1	3
28	2	1	1	3	1	7	19	13	3	2
40	2	1	1	4	1	9	7	2	1	1
52	2	1	1	5	1	5	7	10	1	3
64	2	1	1	6	1	1	19	2	3	1
76	2	1	1	7	1	6	16	2	2	1
88	2	1	1	8	1	8	19	10	3	3
100	2	1	1	9	1	3	7	13	1	2
112	2	1	1	10	1	4	16	13	2	2
124	2	1	1	11	1	8	19	10	3	3
136	2	1	1	12	1	2	16	10	2	3
148	2	1	1	13	1	7	19	13	3	2
160	2	1	1	14	1	3	7	13	1	2
172	2	1	1	15	1	6	16	2	2	1
184	2	1	1	16	1	2	16	10	2	3
196	2	1	1	17	1	1	19	2	3	1
208	2	1	1	18	1	4	16	13	2	2
