onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	6	10	11	1	3
16	2	2	1	2	1	1	1	16	2	1
28	2	2	1	3	1	8	19	11	3	3
40	2	2	1	4	1	7	1	18	2	2
52	2	2	1	5	1	5	19	16	3	1
64	2	2	1	6	1	3	1	11	2	3
76	2	2	1	7	1	5	19	16	3	1
88	2	2	1	8	1	2	10	18	1	2
100	2	2	1	9	1	8	19	11	3	3
112	2	2	1	10	1	4	19	18	3	2
124	2	2	1	11	1	9	10	16	1	1
136	2	2	1	12	1	3	1	11	2	3
148	2	2	1	13	1	9	10	16	1	1
160	2	2	1	14	1	4	19	18	3	2
172	2	2	1	15	1	6	10	11	1	3
184	2	2	1	16	1	1	1	16	2	1
196	2	2	1	17	1	2	10	18	1	2
208	2	2	1	18	1	7	1	18	2	2
