onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	5	1	16	1	1
16	2	2	1	2	1	7	7	11	2	3
28	2	2	1	3	1	2	1	11	1	3
40	2	2	1	4	1	8	7	13	2	2
52	2	2	1	5	1	1	10	16	3	1
64	2	2	1	6	1	8	7	13	2	2
76	2	2	1	7	1	1	10	16	3	1
88	2	2	1	8	1	5	1	16	1	1
100	2	2	1	9	1	7	7	11	2	3
112	2	2	1	10	1	4	10	11	3	3
124	2	2	1	11	1	9	7	16	2	1
136	2	2	1	12	1	3	1	13	1	2
148	2	2	1	13	1	2	1	11	1	3
160	2	2	1	14	1	4	10	11	3	3
172	2	2	1	15	1	3	1	13	1	2
184	2	2	1	16	1	6	10	13	3	2
196	2	2	1	17	1	9	7	16	2	1
208	2	2	1	18	1	6	10	13	3	2
