onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	3	1	11	2	3
16	2	4	0	2	1	9	10	16	1	1
28	2	4	0	3	1	2	10	18	1	2
40	2	4	0	4	1	8	19	11	3	3
52	2	4	0	5	1	9	10	16	1	1
64	2	4	0	6	1	4	19	18	3	2
76	2	4	0	7	1	1	1	16	2	1
88	2	4	0	8	1	5	19	16	3	1
100	2	4	0	9	1	6	10	11	1	3
112	2	4	0	10	1	8	19	11	3	3
124	2	4	0	11	1	2	10	18	1	2
136	2	4	0	12	1	7	1	18	2	2
148	2	4	0	13	1	5	19	16	3	1
160	2	4	0	14	1	3	1	11	2	3
172	2	4	0	15	1	7	1	18	2	2
184	2	4	0	16	1	4	19	18	3	2
196	2	4	0	17	1	6	10	11	1	3
208	2	4	0	18	1	1	1	16	2	1
