onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	7	16	9	3	1
16	2	2	1	2	1	5	13	2	1	2
28	2	2	1	3	1	6	16	18	3	3
40	2	2	1	4	1	9	11	2	2	2
52	2	2	1	5	1	8	11	9	2	1
64	2	2	1	6	1	3	13	9	1	1
76	2	2	1	7	1	1	16	2	3	2
88	2	2	1	8	1	2	13	18	1	3
100	2	2	1	9	1	4	11	18	2	3
112	2	2	1	10	1	8	11	9	2	1
124	2	2	1	11	1	7	16	9	3	1
136	2	2	1	12	1	9	11	2	2	2
148	2	2	1	13	1	6	16	18	3	3
160	2	2	1	14	1	5	13	2	1	2
172	2	2	1	15	1	1	16	2	3	2
184	2	2	1	16	1	4	11	18	2	3
196	2	2	1	17	1	3	13	9	1	1
208	2	2	1	18	1	2	13	18	1	3
