onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	4	2	19	2	3
16	2	4	0	2	1	7	13	7	1	1
28	2	4	0	3	1	5	13	10	1	2
40	2	4	0	4	1	4	2	19	2	3
52	2	4	0	5	1	1	11	19	3	3
64	2	4	0	6	1	6	2	10	2	2
76	2	4	0	7	1	5	13	10	1	2
88	2	4	0	8	1	2	11	7	3	1
100	2	4	0	9	1	9	13	19	1	3
112	2	4	0	10	1	7	13	7	1	1
124	2	4	0	11	1	8	11	10	3	2
136	2	4	0	12	1	9	13	19	1	3
148	2	4	0	13	1	8	11	10	3	2
160	2	4	0	14	1	2	11	7	3	1
172	2	4	0	15	1	6	2	10	2	2
184	2	4	0	16	1	3	2	7	2	1
196	2	4	0	17	1	1	11	19	3	3
208	2	4	0	18	1	3	2	7	2	1
