onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	9	7	2	1	2
16	2	4	0	2	1	4	19	2	2	2
28	2	4	0	3	1	8	18	1	3	1
40	2	4	0	4	1	1	18	2	3	2
52	2	4	0	5	1	5	19	9	2	3
64	2	4	0	6	1	1	18	2	3	2
76	2	4	0	7	1	5	19	9	2	3
88	2	4	0	8	1	2	7	9	1	3
100	2	4	0	9	1	7	7	1	1	1
112	2	4	0	10	1	6	19	1	2	1
124	2	4	0	11	1	9	7	2	1	2
136	2	4	0	12	1	4	19	2	2	2
148	2	4	0	13	1	3	18	9	3	3
160	2	4	0	14	1	7	7	1	1	1
172	2	4	0	15	1	8	18	1	3	1
184	2	4	0	16	1	3	18	9	3	3
196	2	4	0	17	1	2	7	9	1	3
208	2	4	0	18	1	6	19	1	2	1
