onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	5	9	10	1	2
16	2	4	0	2	1	3	11	19	2	1
28	2	4	0	3	1	4	11	10	2	2
40	2	4	0	4	1	2	1	13	3	3
52	2	4	0	5	1	4	11	10	2	2
64	2	4	0	6	1	6	9	13	1	3
76	2	4	0	7	1	1	9	19	1	1
88	2	4	0	8	1	8	1	19	3	1
100	2	4	0	9	1	6	9	13	1	3
112	2	4	0	10	1	3	11	19	2	1
124	2	4	0	11	1	7	11	13	2	3
136	2	4	0	12	1	9	1	10	3	2
148	2	4	0	13	1	8	1	19	3	1
160	2	4	0	14	1	5	9	10	1	2
172	2	4	0	15	1	2	1	13	3	3
184	2	4	0	16	1	7	11	13	2	3
196	2	4	0	17	1	9	1	10	3	2
208	2	4	0	18	1	1	9	19	1	1
