onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	5	13	1	3	2
16	2	2	1	2	1	2	13	18	3	3
28	2	2	1	3	1	1	19	1	2	2
40	2	2	1	4	1	6	7	16	1	1
52	2	2	1	5	1	9	19	18	2	3
64	2	2	1	6	1	5	13	1	3	2
76	2	2	1	7	1	7	7	18	1	3
88	2	2	1	8	1	8	13	16	3	1
100	2	2	1	9	1	3	7	1	1	2
112	2	2	1	10	1	4	19	16	2	1
124	2	2	1	11	1	7	7	18	1	3
136	2	2	1	12	1	8	13	16	3	1
148	2	2	1	13	1	6	7	16	1	1
160	2	2	1	14	1	1	19	1	2	2
172	2	2	1	15	1	2	13	18	3	3
184	2	2	1	16	1	3	7	1	1	2
196	2	2	1	17	1	9	19	18	2	3
208	2	2	1	18	1	4	19	16	2	1
