onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	6	9	7	2	2
16	2	2	1	2	1	1	18	16	3	1
28	2	2	1	3	1	5	9	16	2	1
40	2	2	1	4	1	9	18	10	3	3
52	2	2	1	5	1	3	13	10	1	3
64	2	2	1	6	1	1	18	16	3	1
76	2	2	1	7	1	2	13	7	1	2
88	2	2	1	8	1	3	13	10	1	3
100	2	2	1	9	1	6	9	7	2	2
112	2	2	1	10	1	4	9	10	2	3
124	2	2	1	11	1	7	18	7	3	2
136	2	2	1	12	1	2	13	7	1	2
148	2	2	1	13	1	8	13	16	1	1
160	2	2	1	14	1	5	9	16	2	1
172	2	2	1	15	1	7	18	7	3	2
184	2	2	1	16	1	8	13	16	1	1
196	2	2	1	17	1	4	9	10	2	3
208	2	2	1	18	1	9	18	10	3	3
