onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	6	2	16	1	3
16	2	4	0	2	1	1	13	16	3	3
28	2	4	0	3	1	3	11	19	2	2
40	2	4	0	4	1	7	11	16	2	3
52	2	4	0	5	1	8	13	18	3	1
64	2	4	0	6	1	5	2	19	1	2
76	2	4	0	7	1	4	13	19	3	2
88	2	4	0	8	1	9	2	18	1	1
100	2	4	0	9	1	2	11	18	2	1
112	2	4	0	10	1	3	11	19	2	2
124	2	4	0	11	1	8	13	18	3	1
136	2	4	0	12	1	9	2	18	1	1
148	2	4	0	13	1	4	13	19	3	2
160	2	4	0	14	1	2	11	18	2	1
172	2	4	0	15	1	6	2	16	1	3
184	2	4	0	16	1	5	2	19	1	2
196	2	4	0	17	1	7	11	16	2	3
208	2	4	0	18	1	1	13	16	3	3
