onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	3	0	1	1	6	18	13	1	3
16	2	3	0	2	1	5	18	11	1	2
28	2	3	0	3	1	7	19	13	2	3
40	2	3	0	4	1	4	16	11	3	2
52	2	3	0	5	1	2	19	2	2	1
64	2	3	0	6	1	9	18	2	1	1
76	2	3	0	7	1	3	19	11	2	2
88	2	3	0	8	1	8	16	2	3	1
100	2	3	0	9	1	1	16	13	3	3
112	2	3	0	10	1	3	19	11	2	2
124	2	3	0	11	1	7	19	13	2	3
136	2	3	0	12	1	1	16	13	3	3
148	2	3	0	13	1	2	19	2	2	1
160	2	3	0	14	1	6	18	13	1	3
172	2	3	0	15	1	4	16	11	3	2
184	2	3	0	16	1	9	18	2	1	1
196	2	3	0	17	1	8	16	2	3	1
208	2	3	0	18	1	5	18	11	1	2
