onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	3	16	10	1	2
16	2	4	0	2	1	9	1	10	3	2
28	2	4	0	3	1	1	1	13	3	1
40	2	4	0	4	1	2	19	9	2	3
52	2	4	0	5	1	8	19	13	2	1
64	2	4	0	6	1	6	16	9	1	3
76	2	4	0	7	1	7	19	10	2	2
88	2	4	0	8	1	4	16	13	1	1
100	2	4	0	9	1	2	19	9	2	3
112	2	4	0	10	1	1	1	13	3	1
124	2	4	0	11	1	5	1	9	3	3
136	2	4	0	12	1	4	16	13	1	1
148	2	4	0	13	1	6	16	9	1	3
160	2	4	0	14	1	7	19	10	2	2
172	2	4	0	15	1	8	19	13	2	1
184	2	4	0	16	1	3	16	10	1	2
196	2	4	0	17	1	5	1	9	3	3
208	2	4	0	18	1	9	1	10	3	2
