onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	8	19	13	2	1
16	2	1	1	2	1	7	19	10	2	2
28	2	1	1	3	1	4	16	13	1	1
40	2	1	1	4	1	7	19	10	2	2
52	2	1	1	5	1	4	16	13	1	1
64	2	1	1	6	1	2	19	9	2	3
76	2	1	1	7	1	9	1	10	3	2
88	2	1	1	8	1	6	16	9	1	3
100	2	1	1	9	1	5	1	9	3	3
112	2	1	1	10	1	8	19	13	2	1
124	2	1	1	11	1	6	16	9	1	3
136	2	1	1	12	1	3	16	10	1	2
148	2	1	1	13	1	1	1	13	3	1
160	2	1	1	14	1	3	16	10	1	2
172	2	1	1	15	1	5	1	9	3	3
184	2	1	1	16	1	9	1	10	3	2
196	2	1	1	17	1	2	19	9	2	3
208	2	1	1	18	1	1	1	13	3	1
