onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	9	9	13	2	2
16	2	1	1	2	1	4	1	11	1	3
28	2	1	1	3	1	8	9	2	2	1
40	2	1	1	4	1	6	19	11	3	3
52	2	1	1	5	1	9	9	13	2	2
64	2	1	1	6	1	4	1	11	1	3
76	2	1	1	7	1	8	9	2	2	1
88	2	1	1	8	1	3	19	2	3	1
100	2	1	1	9	1	5	19	13	3	2
112	2	1	1	10	1	1	1	13	1	2
124	2	1	1	11	1	6	19	11	3	3
136	2	1	1	12	1	2	9	11	2	3
148	2	1	1	13	1	7	1	2	1	1
160	2	1	1	14	1	2	9	11	2	3
172	2	1	1	15	1	5	19	13	3	2
184	2	1	1	16	1	1	1	13	1	2
196	2	1	1	17	1	7	1	2	1	1
208	2	1	1	18	1	3	19	2	3	1
