onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	4	11	2	1	2
16	2	2	1	2	1	9	16	9	3	1
28	2	2	1	3	1	1	11	1	1	3
40	2	2	1	4	1	4	11	2	1	2
52	2	2	1	5	1	9	16	9	3	1
64	2	2	1	6	1	2	7	1	2	3
76	2	2	1	7	1	7	16	2	3	2
88	2	2	1	8	1	6	11	9	1	1
100	2	2	1	9	1	5	7	9	2	1
112	2	2	1	10	1	8	16	1	3	3
124	2	2	1	11	1	3	7	2	2	2
136	2	2	1	12	1	5	7	9	2	1
148	2	2	1	13	1	8	16	1	3	3
160	2	2	1	14	1	3	7	2	2	2
172	2	2	1	15	1	2	7	1	2	3
184	2	2	1	16	1	6	11	9	1	1
196	2	2	1	17	1	7	16	2	3	2
208	2	2	1	18	1	1	11	1	1	3
