onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	1	1	1	1	8	16	13	1	1
16	2	1	1	2	1	9	10	18	3	3
28	2	1	1	3	1	1	10	13	3	1
40	2	1	1	4	1	5	7	13	2	1
52	2	1	1	5	1	2	16	9	1	2
64	2	1	1	6	1	6	7	9	2	2
76	2	1	1	7	1	4	7	18	2	3
88	2	1	1	8	1	7	10	9	3	2
100	2	1	1	9	1	4	7	18	2	3
112	2	1	1	10	1	7	10	9	3	2
124	2	1	1	11	1	5	7	13	2	1
136	2	1	1	12	1	1	10	13	3	1
148	2	1	1	13	1	3	16	18	1	3
160	2	1	1	14	1	6	7	9	2	2
172	2	1	1	15	1	8	16	13	1	1
184	2	1	1	16	1	2	16	9	1	2
196	2	1	1	17	1	9	10	18	3	3
208	2	1	1	18	1	3	16	18	1	3
