onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	3	0	1	1	5	9	1	3	3
16	2	3	0	2	1	4	13	16	1	1
28	2	3	0	3	1	2	10	1	2	3
40	2	3	0	4	1	6	13	1	1	3
52	2	3	0	5	1	9	9	19	3	2
64	2	3	0	6	1	6	13	1	1	3
76	2	3	0	7	1	1	9	16	3	1
88	2	3	0	8	1	3	13	19	1	2
100	2	3	0	9	1	8	10	16	2	1
112	2	3	0	10	1	1	9	16	3	1
124	2	3	0	11	1	7	10	19	2	2
136	2	3	0	12	1	2	10	1	2	3
148	2	3	0	13	1	3	13	19	1	2
160	2	3	0	14	1	5	9	1	3	3
172	2	3	0	15	1	7	10	19	2	2
184	2	3	0	16	1	8	10	16	2	1
196	2	3	0	17	1	9	9	19	3	2
208	2	3	0	18	1	4	13	16	1	1
