onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	4	13	16	1	1
16	2	2	1	2	1	8	10	16	2	1
28	2	2	1	3	1	6	13	1	1	3
40	2	2	1	4	1	7	10	19	2	2
52	2	2	1	5	1	4	13	16	1	1
64	2	2	1	6	1	7	10	19	2	2
76	2	2	1	7	1	1	9	16	3	1
88	2	2	1	8	1	5	9	1	3	3
100	2	2	1	9	1	2	10	1	2	3
112	2	2	1	10	1	3	13	19	1	2
124	2	2	1	11	1	5	9	1	3	3
136	2	2	1	12	1	6	13	1	1	3
148	2	2	1	13	1	3	13	19	1	2
160	2	2	1	14	1	1	9	16	3	1
172	2	2	1	15	1	9	9	19	3	2
184	2	2	1	16	1	2	10	1	2	3
196	2	2	1	17	1	8	10	16	2	1
208	2	2	1	18	1	9	9	19	3	2
