onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	3	2	7	1	2
16	2	4	0	2	1	8	10	13	3	1
28	2	4	0	3	1	4	9	18	2	3
40	2	4	0	4	1	6	10	18	3	3
52	2	4	0	5	1	9	9	13	2	1
64	2	4	0	6	1	6	10	18	3	3
76	2	4	0	7	1	5	10	7	3	2
88	2	4	0	8	1	2	2	18	1	3
100	2	4	0	9	1	9	9	13	2	1
112	2	4	0	10	1	2	2	18	1	3
124	2	4	0	11	1	7	9	7	2	2
136	2	4	0	12	1	8	10	13	3	1
148	2	4	0	13	1	5	10	7	3	2
160	2	4	0	14	1	1	2	13	1	1
172	2	4	0	15	1	4	9	18	2	3
184	2	4	0	16	1	7	9	7	2	2
196	2	4	0	17	1	1	2	13	1	1
208	2	4	0	18	1	3	2	7	1	2
