onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	2	1	1	1	1	18	9	2	3
16	2	2	1	2	1	4	11	16	3	1
28	2	2	1	3	1	5	7	16	1	1
40	2	2	1	4	1	8	11	19	3	2
52	2	2	1	5	1	3	18	16	2	1
64	2	2	1	6	1	1	18	9	2	3
76	2	2	1	7	1	7	7	9	1	3
88	2	2	1	8	1	6	7	19	1	2
100	2	2	1	9	1	2	18	19	2	2
112	2	2	1	10	1	7	7	9	1	3
124	2	2	1	11	1	8	11	19	3	2
136	2	2	1	12	1	4	11	16	3	1
148	2	2	1	13	1	3	18	16	2	1
160	2	2	1	14	1	6	7	19	1	2
172	2	2	1	15	1	2	18	19	2	2
184	2	2	1	16	1	9	11	9	3	3
196	2	2	1	17	1	5	7	16	1	1
208	2	2	1	18	1	9	11	9	3	3
