onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	1	2	16	3	3
16	2	4	0	2	1	7	7	19	1	1
28	2	4	0	3	1	2	7	16	1	3
40	2	4	0	4	1	3	2	19	3	1
52	2	4	0	5	1	4	18	10	2	2
64	2	4	0	6	1	9	7	10	1	2
76	2	4	0	7	1	5	18	16	2	3
88	2	4	0	8	1	3	2	19	3	1
100	2	4	0	9	1	6	2	10	3	2
112	2	4	0	10	1	7	7	19	1	1
124	2	4	0	11	1	4	18	10	2	2
136	2	4	0	12	1	5	18	16	2	3
148	2	4	0	13	1	6	2	10	3	2
160	2	4	0	14	1	8	18	19	2	1
172	2	4	0	15	1	1	2	16	3	3
184	2	4	0	16	1	9	7	10	1	2
196	2	4	0	17	1	8	18	19	2	1
208	2	4	0	18	1	2	7	16	1	3
