onset	duration	run_num	is_pre	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category	irrelevant_category
4	2	4	0	1	1	5	16	10	1	3
16	2	4	0	2	1	1	2	10	2	3
28	2	4	0	3	1	9	16	11	1	2
40	2	4	0	4	1	6	2	13	2	1
52	2	4	0	5	1	2	1	13	3	1
64	2	4	0	6	1	7	1	11	3	2
76	2	4	0	7	1	8	16	13	1	1
88	2	4	0	8	1	4	2	11	2	2
100	2	4	0	9	1	1	2	10	2	3
112	2	4	0	10	1	3	1	10	3	3
124	2	4	0	11	1	6	2	13	2	1
136	2	4	0	12	1	7	1	11	3	2
148	2	4	0	13	1	8	16	13	1	1
160	2	4	0	14	1	3	1	10	3	3
172	2	4	0	15	1	5	16	10	1	3
184	2	4	0	16	1	2	1	13	3	1
196	2	4	0	17	1	9	16	11	1	2
208	2	4	0	18	1	4	2	11	2	2
